distance_type,reg_coef1,reg_coef2,p_value_slope1,p_value_slope2
normalized_ranks,-0.0062,-6.623e-05,0.000,0.000
topology_only,-0.0077,2.312e-05,0.000,0.003
normalized_scores,-0.0064,-8.364e-05,0.000,0.000
