distance_type,reg_coef1,reg_coef2,p_value_slope1,p_value_slope2
normalized_ranks,-6.623e-05,-0.0062,0.000,0.000
topology_only,2.312e-05,-0.0077,0.003,0.000
normalized_scores,-8.364e-05,-0.0064,0.000,0.000
