distance_type,reg_coef1,reg_coef2,p_value_slope1,p_value_slope2
normalized_ranks,-0.0011,-0.0002,0.000,0.008
topology_only,-0.0011,-0.0008,0.000,0.000
normalized_scores,-0.0012,-0.0005,0.000,0.000
